log_id,hardware_id,timestamp,cpu_utilization_pct,ram_utilization_pct,temperatura_celsius,estimated_power_watts,cumple_sla,hostname,cpu_cores,ram_gb,max_watts,ubicacion_rack,estado
LOG000001,HW045,2026-07-10 07:35:04.779,39.16,28.56,35.84,209.41,True,srv-green-045,64,32,600,Rack-05,activo
LOG000002,HW013,2026-07-10 07:36:04.779,41.65,33.29,39.33,242.68,True,srv-green-013,64,64,600,Rack-02,activo
LOG000003,HW015,2026-07-10 07:37:04.779,57.54,60.18,47.3,378.24,True,srv-green-015,64,128,600,Rack-02,activo
LOG000004,HW039,2026-07-10 07:38:04.779,31.18,28.31,36.49,263.24,True,srv-green-039,32,32,800,Rack-04,activo
LOG000005,HW014,2026-07-10 07:39:04.779,48.85,34.53,42.49,309.57,True,srv-green-014,64,128,600,Rack-02,activo
LOG000006,HW048,2026-07-10 07:40:04.779,47.78,46.7,43.83,384.7,True,srv-green-048,16,64,800,Rack-05,activo
LOG000007,HW006,2026-07-10 07:41:04.779,48.93,44.15,44.0,218.13,True,srv-green-006,16,128,450,Rack-01,activo
LOG000008,HW009,2026-07-10 07:42:04.779,63.26,59.14,49.98,364.47,True,srv-green-009,64,32,600,Rack-01,activo
LOG000009,HW011,2026-07-10 07:43:04.779,47.81,50.94,41.24,356.72,True,srv-green-011,64,32,800,Rack-02,activo
LOG000010,HW020,2026-07-10 07:44:04.779,46.76,41.02,43.17,414.7,True,srv-green-020,32,64,800,Rack-02,activo
LOG000011,HW018,2026-07-10 07:45:04.779,62.11,61.08,48.72,432.81,True,srv-green-018,64,64,800,Rack-02,activo
LOG000012,HW040,2026-07-10 07:46:04.779,40.97,42.06,38.87,301.38,True,srv-green-040,64,128,800,Rack-04,activo
LOG000013,HW016,2026-07-10 07:47:04.779,44.85,32.24,41.66,371.44,True,srv-green-016,16,64,800,Rack-02,activo
LOG000014,HW049,2026-07-10 07:48:04.779,44.29,47.61,41.03,340.99,True,srv-green-049,64,64,800,Rack-05,activo
LOG000015,HW021,2026-07-10 07:49:04.779,43.65,34.71,40.44,219.08,True,srv-green-021,16,32,450,Rack-03,activo
LOG000016,HW011,2026-07-10 07:50:04.779,56.04,51.65,46.11,467.47,True,srv-green-011,64,32,800,Rack-02,activo
LOG000017,HW009,2026-07-10 07:51:04.779,49.29,51.69,44.5,302.89,True,srv-green-009,64,32,600,Rack-01,activo
LOG000018,HW005,2026-07-10 07:52:04.779,42.97,38.39,42.64,314.55,True,srv-green-005,16,128,800,Rack-01,activo
LOG000019,HW014,2026-07-10 07:53:04.779,57.52,46.96,47.87,307.27,True,srv-green-014,64,128,600,Rack-02,activo
LOG000020,HW022,2026-07-10 07:54:04.779,47.63,41.07,44.27,388.74,True,srv-green-022,32,32,800,Rack-03,activo
LOG000021,HW027,2026-07-10 07:55:04.779,61.88,48.98,50.19,256.18,True,srv-green-027,32,32,450,Rack-03,activo
LOG000022,HW008,2026-07-10 07:56:04.779,56.86,46.8,46.77,460.86,True,srv-green-008,32,64,800,Rack-01,activo
